0,1,2,3,4,5,6,7
1.0,8.436869999999999,12.7041,0.0,-3.58185,0.08821849999999999,0.653238,0.0
1.0,2.6747400000000003,9.861880000000001,0.0,-4.13472,-0.36689499999999997,0.155129,0.0
1.0,14.4623,7.29961,0.0,-3.7300800000000005,-0.22092699999999998,-0.0575677,0.0
1.0,3.38331,2.5564400000000003,0.0,-3.00261,-0.163901,0.0419708,0.0
1.0,4.7287099999999995,14.8439,0.0,-4.30375,0.140861,-0.09013260000000001,0.0
1.0,10.0348,16.1689,0.0,-3.7687199999999996,-0.23513,0.406429,0.0
1.0,5.4585,15.5988,0.0,-4.23463,0.761896,0.49368500000000004,0.0
1.0,7.115989999999999,10.8646,0.0,-4.1632,0.20516500000000001,-0.7701979999999999,0.0
1.0,16.2683,4.480630000000001,0.0,-4.39823,0.553079,0.0005347759999999999,0.0
1.0,12.0951,16.2189,0.0,-3.77621,-0.0395673,0.0372835,0.0
1.0,0.41341999999999995,16.5457,0.0,-3.9415699999999996,0.318369,-0.0213051,0.0
1.0,6.32407,20.0933,0.0,-4.59542,-0.386892,-0.261915,0.0
1.0,17.2022,7.13868,0.0,-3.7002099999999998,0.636131,0.438179,0.0
2.0,16.1328,0.177453,0.0,-3.54253,-0.357127,-0.287118,0.0
2.0,16.8838,5.234719999999999,0.0,-3.77075,-0.726437,0.808222,0.0
2.0,14.3625,3.8681900000000002,0.0,-3.5477300000000005,0.0219039,0.0314296,0.0
2.0,12.8972,12.682,0.0,-3.29808,-0.261002,-0.11663699999999999,0.0
2.0,5.6102,14.6958,0.0,-3.9357699999999998,0.041262099999999996,-0.0133893,0.0
2.0,0.845627,12.0585,0.0,-3.78093,-0.22910999999999998,-0.45730299999999996,0.0
2.0,11.2409,12.9819,0.0,-3.4057,0.41391300000000003,0.0119197,0.0
1.0,7.95125,19.7609,0.0,-4.0774,0.0693261,0.019553900000000003,0.0
1.0,11.8342,10.5591,0.0,-3.5022,0.415332,0.07975610000000001,0.0
1.0,10.0367,17.8796,0.0,-4.21039,-0.261038,0.253083,0.0
1.0,10.9467,9.92477,0.0,-3.42339,0.115351,0.135478,0.0
1.0,16.0168,5.50321,0.0,-4.11014,-0.402174,0.0616931,0.0
1.0,6.41944,9.35865,0.0,-3.79374,0.051792399999999995,0.156906,0.0
1.0,7.8547,1.0710600000000001,0.0,-3.88755,-0.10031699999999999,0.234794,0.0
1.0,0.9043479999999999,1.7945400000000002,0.0,-3.95939,0.0989304,0.673916,0.0
1.0,11.0114,17.5018,0.0,-3.8064400000000003,0.07096799999999999,-0.31046,0.0
